Aaron,Abbie
Nate,Lucinda
Nathan,Lucy
Nathaniel,Lydia
Neil,Lyla
Nicholas,Lynette
Nick,Mabel
Nicolas,Madeleine
Nigel,Madeline
Noah,Madelyn
Noel,Maisie
Norman,Malvina
Oliver,Marcia
Oscar,Margaret
Oswald,Margery
Othniel,Margot
Owen,Maria
Pascal,Mariah
Pat,Marian
Patrick,Marianne
Paul,Marie
Perceval,Marilyn
Percival,Marion
Percy,Marjorie
Peter,Marlene
Phil,Martha
Philander,Martina
Philip,Mary
Phillip,Mathilda
Quentin,Matilda
Quincy,Maureen
Rafe,Mavis
Ralph,Maxine
Randall,May
Randolf,Melanie
Randolph,Melinda
Randy,Melissa
Raphael,Melody
Ray,Mercedes
Raymond,Mercy
Reginald,Meredith
Rex,Mia
Reynold,Michaela
Richard,Michele
Rick,Michelle
Ricky,Mildred
Rob,Mina
Robert,Minnie
Robin,Mirabel
Roderick,Mirabelle
Rodger,Miranda
Rodney,Miriam
Roger,Moira
Roland,Mollie
Roman,Molly
Ronald,Monica
Ronnie,Monique
Rowland,Morgan
Roy,Muriel
Rufus,Myra
Rupert,Nadia
Russel,Nadine
Russell,Nancy
Sam,Naomi
Sammy,Natalia
Samuel,Natalie
Sandy,Nell
Scott,Nellie
Sebastian,Nelly
Shaun,Nichola
Sidney,Nichole
Silas,Nicola
Silvester,Nicole
Simeon,Nina
Simon,Noelle
Solomon,Nora
Spencer,Noreen
Stanley,Norma
Stephen,Olive
Steve,Olivia
Steven,Ophelia
Stevie,Oriana
Stewart,Pamela
Stuart,Pansy
Sylvester,Pat
Ted,Patrice
Teddy,Patricia
Terence,Patsy
Terrence,Patty
Terry,Paula
Thaddeus,Paulina
Theodore,Pauline
Theodoric,Pearl
Thom,Penelope
Thomas,Philippa
Tim,Phoebe
Timothy,Phyllis
Tobias,Polly
Toby,Priscilla
Tom,Rachel
Tommy,Ramona
Tony,Rebecca
Tracy,Regina
Travis,Rita
Trevor,Roberta
Tristan,Robin
Ulysses,Romy
Valentine,Rosa
Victor,Rosanne
Vince,Rose
Vincent,Rosemary
Virgil,Rosie
Vivian,Ruby
Wallace,Ruth
Walt,Sabrina
Walter,Sadie
Warren,Sally
Wesley,Sam
Wilfred,Samantha
William,Sandra
Winston,Sandy
Zachariah,Sara
Zachary,Sarah
Zechariah,Savannah
,Scarlett
,Selina
,Selma
,Seraphina
,Serena
,Shannon
,Sharon
,Shauna
,Sheila
,Sherry
,Shirley
,Sibyl
,Sidney
,Sonia
,Sophia
,Sophie
,Stacy
,Stella
,Stephanie
,Susan
,Susanna
,Susie
,Sybil
,Sylvia
,Tabatha
,Tabitha
,Tamara
,Tammy
,Tara
,Terry
,Thelma
,Theodora
,Theresa
,Tiffany
,Tina
,Tracy
,Ursula
,Valerie
,Vanessa
,Vera
,Veronica
,Victoria
,Viola
,Violet
,Virginia
,Vivian
,Vivienne
,Wanda
,Wendy
,Wilhelmina
,Yolanda
,Yvette
,Yvonne
,Zara
,Zoe
